,Datetime,Username,Text,duplicate
78,2023-04-05 14:53:27+00:00,fikrivarinatha,"@nurrohmah___ @ganjarpranowo Memang pak Ganjar Pranowo ini hanya seorang gubernur, pendapatnya tidak ngaruh apa apa terhadap batalnya Indonesia menjadi tuan rumah Piala Dunia U-20",False
79,2023-04-05 14:35:00+00:00,KompasTV,"Erick Thohir mengatakan pembatalan Indonesia sebagai Tuan Rumah Piala Dunia U-20 diakibatkan karena FIFA melihat adanya intervensi terhadap gelaran Piala Dunia. Kok bisa? 

Simak pembahasan #LiviOnPoint di YouTube KompasTV!

▶️https://t.co/faTFfg2KAJ https://t.co/HNEXzFnur7",False
80,2023-04-05 14:32:58+00:00,AkuAtikaFaya,"Pengalaman yg sangat tidak mengenakkan Piala Dunia U-20 harus bisa jadi ujian mendewasakan sepak bola Indonesia utk menatap masa depan

@erickthohir 
#GueBarengErickThohir https://t.co/iy1G59SbKg",False
81,2023-04-05 14:31:19+00:00,elshinta_tegal,"Survei MIPOS ungkap elektabilitas Ganjar turun usai polemik Piala Dunia U-20

https://t.co/4zjWBsRh1S https://t.co/uYvSrQkiBy",False
82,2023-04-05 14:23:41+00:00,siticeriaselalu,"Simak obrolan selengkapnya di Gaspol! https://t.co/IFtupwtBCQ bertajuk PDI-P Tolak Israel di Piala Dunia U-20, Takut Jokowi Dimakzulkan?, di Youtube https://t.co/IFtupwtBCQ!
https://t.co/4s0k2qcMvK",False
83,2023-04-05 14:23:40+00:00,siticeriaselalu,"Pak Hasto di Kompas TV bicara soal lobi politik yg dilakukannya terkait Piala Dunia U-20. Ada kekhawatiran penolakn hingga ancaman keamanan bila Timnas Israel sampai bermain di Indonesia. Bahkn, kekhawatiran tersebut berpotensi berujung pada impeachment terhadp pemerintahn Jokowi https://t.co/A8fnDoHGtH",False
84,2023-04-05 14:22:03+00:00,Simanjunta9Nico,"Prediksi Tak Meleset, Komentar Ganjar Soal Piala Dunia U-20 Membuat Elektabilitas Anies Moncer.

Keuntungan yg diperoleh Anies itu bkn krn menari-nari di atas caci maki terhadap Ganjar. Tapi, lanjut dia, konsekuensi cerobohnya Ganjar Pranowo dlm bersikap.
https://t.co/9jKOzg1TxH",False
85,2023-04-05 14:20:16+00:00,aewin86,"Pemakzulan? Ancaman basi..

Hasto Ungkap Skenario Terburuk jika Israel Main di Piala Dunia U-20 di Indonesia - Halaman 1 https://t.co/y5wmZUNmhL",False
86,2023-04-05 14:12:59+00:00,republikbobot0h,"Empati Persib dan Bobotoh Atas Kegagalan Indonesia Gelar Piala Dunia U-20

https://t.co/vIjCCYLkvZ",False
87,2023-04-05 14:05:05+00:00,mediaindonesia,"Suporter Tuntut Politisi Minta Maaf Atas Batalnya Piala Dunia U-20
  https://t.co/jTqEWO3De3",False
88,2023-04-05 14:02:54+00:00,N_Fadhilaah,"#GueBarengErickThohir 
#SlmCinta 

Dengan berat hati, mengundang seluruh panitia piala dunia sepak bola U-20 
memberitahukan 

      "" Tim ini dibubarkan "" 

Ini menjadikan bangsa ini lebih dewasa dalam bersikap dan bertindak

         Ketua Umum PSSI 
              @erickthohir https://t.co/k7a2zBX3Xk",False
